"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Anrede","Deck","Seite"
"Nein","3","männlich",17,1,0,7.0542,"Southampton","Mr",NA,NA
"Nein","2","männlich",34,0,0,13,"Southampton","Mr",NA,NA
"Nein","2","männlich",50,0,0,13,"Southampton","Mr",NA,NA
"Ja","1","männlich",27,1,0,53.1,"Southampton","Mr","E","Backbord"
"Nein","3","männlich",20,0,0,8.6625,"Southampton","Mr",NA,NA
"Ja","2","weiblich",30,3,0,21,"Southampton","Mrs",NA,NA
"Ja","3","weiblich",21,0,0,7.7375,"Queenstown","Miss",NA,NA
"Nein","2","männlich",25,1,0,26,"Southampton","Mr",NA,NA
"Nein","3","weiblich",25,1,0,7.925,"Southampton","Miss",NA,NA
"Ja","1","weiblich",29,0,0,211.3375,"Southampton","Miss","B","Steuerbord"
"Nein","3","männlich",11,0,0,18.7875,"Cherbourg","Mr",NA,NA
"Nein","2","männlich",30,0,0,0,"Southampton","Mr",NA,NA
"Nein","2","männlich",23,0,0,13,"Southampton","Mr",NA,NA
"Nein","2","männlich",23,0,0,13,"Southampton","Mr",NA,NA
"Nein","3","männlich",28.5,0,0,16.1,"Southampton","Mr",NA,NA
"Nein","3","weiblich",48,1,3,34.375,"Southampton","Mrs",NA,NA
"Ja","1","männlich",35,0,0,512.3292,"Cherbourg","Mr","B","Steuerbord"
"Nein","3","männlich",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Ja","1","männlich",30,0,0,30,"Southampton","Mr","D","Steuerbord"
"Nein","1","männlich",36,1,0,78.85,"Southampton","Mr","C","Backbord"
"Ja","1","weiblich",21,2,2,262.375,"Cherbourg","Miss","B","Steuerbord"
"Nein","3","männlich",24,1,0,16.1,"Southampton","Mr",NA,NA
"Ja","3","männlich",31,0,0,7.925,"Southampton","Mr",NA,NA
"Nein","1","männlich",70,1,1,71,"Southampton","Selten","B","Backbord"
"Nein","3","männlich",16,1,1,20.25,"Southampton","Mr",NA,NA
"Ja","2","weiblich",30,0,0,13,"Southampton","Miss",NA,NA
"Nein","1","männlich",19,1,0,53.1,"Southampton","Mr","D","Backbord"
"Nein","3","männlich",31,0,0,7.75,"Queenstown","Mr",NA,NA
"Ja","2","weiblich",4,1,1,23,"Southampton","Miss",NA,NA
"Ja","3","männlich",6,0,1,12.475,"Southampton","Master","E","Steuerbord"
"Nein","3","männlich",33,0,0,9.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",23,0,0,7.8958,"Southampton","Mr",NA,NA
"Ja","2","weiblich",48,1,2,65,"Southampton","Mrs",NA,NA
"Ja","2","männlich",0.67,1,1,14.5,"Southampton","Master",NA,NA
"Nein","3","männlich",28,0,0,7.7958,"Southampton","Mr",NA,NA
"Nein","2","männlich",18,0,0,11.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",34,0,0,8.05,"Southampton","Mr",NA,NA
"Ja","1","weiblich",33,0,0,86.5,"Southampton","the Countess","B","Steuerbord"
"Nein","3","männlich",30,0,0,14.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",41,0,0,7.125,"Southampton","Mr",NA,NA
"Ja","3","männlich",20,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Ja","1","weiblich",36,1,2,120,"Southampton","Mrs","B","Backbord"
"Nein","3","männlich",16,0,0,7.775,"Southampton","Mr",NA,NA
"Ja","1","weiblich",51,1,0,77.9583,"Southampton","Mrs","D","Steuerbord"
"Nein","1","männlich",49,0,0,39.6,"Cherbourg","Selten",NA,NA
"Nein","3","weiblich",30.5,0,0,7.75,"Queenstown","Miss",NA,NA
"Nein","3","männlich",30,1,0,24.15,"Queenstown","Mr",NA,NA
"Nein","3","männlich",32,0,0,8.3625,"Southampton","Mr",NA,NA
"Nein","3","männlich",24,0,0,9.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",48,0,0,7.8542,"Southampton","Mr",NA,NA
"Nein","2","weiblich",57,0,0,10.5,"Southampton","Mrs","E","Steuerbord"
"Nein","3","männlich",30,0,0,7.225,"Cherbourg","Mr",NA,NA
"Ja","2","weiblich",54,1,3,23,"Southampton","Mrs",NA,NA
"Nein","3","männlich",18,0,0,7.75,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,7.75,"Queenstown","Mr","F","Backbord"
"Ja","3","weiblich",5,0,0,12.475,"Southampton","Miss",NA,NA
"Nein","3","männlich",30,0,0,7.7375,"Queenstown","Mr",NA,NA
"Ja","1","weiblich",43,0,1,211.3375,"Southampton","Mrs","B","Steuerbord"
"Ja","3","weiblich",13,0,0,7.2292,"Cherbourg","Miss",NA,NA
"Ja","1","weiblich",17,1,0,57,"Southampton","Mrs","B","Backbord"
"Nein","1","männlich",29,0,0,30,"Southampton","Mr","D","Backbord"
"Nein","3","männlich",30,1,2,23.45,"Southampton","Mr",NA,NA
"Nein","3","männlich",25,0,0,7.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",25,0,0,7.25,"Southampton","Mr",NA,NA
"Ja","3","weiblich",18,0,0,7.4958,"Southampton","Miss",NA,NA
"Nein","3","männlich",8,4,1,29.125,"Queenstown","Master",NA,NA
"Ja","3","männlich",1,1,2,20.575,"Southampton","Master",NA,NA
"Nein","1","männlich",46,0,0,79.2,"Cherbourg","Mr","B","Backbord"
"Nein","3","männlich",30,0,0,7.75,"Queenstown","Mr",NA,NA
"Nein","2","männlich",16,0,0,26,"Southampton","Mr",NA,NA
"Nein","3","weiblich",21,8,2,69.55,"Southampton","Miss",NA,NA
"Nein","1","männlich",30,0,0,30.6958,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",25,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","2","männlich",39,0,0,13,"Southampton","Mr",NA,NA
"Ja","1","weiblich",49,0,0,25.9292,"Southampton","Selten","D","Steuerbord"
"Ja","3","weiblich",31,0,0,8.6833,"Southampton","Mrs",NA,NA
"Nein","3","männlich",30,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Nein","3","weiblich",30,1,1,24.15,"Southampton","Mrs",NA,NA
"Nein","2","männlich",34,0,0,13,"Southampton","Mr",NA,NA
"Ja","2","weiblich",31,1,1,26.25,"Southampton","Mrs",NA,NA
"Ja","1","männlich",11,1,2,120,"Southampton","Master","B","Backbord"
"Ja","3","männlich",0.42,0,1,8.5167,"Cherbourg","Master",NA,NA
"Ja","3","männlich",27,0,0,6.975,"Southampton","Mr",NA,NA
"Nein","3","männlich",31,0,0,7.775,"Southampton","Mr",NA,NA
"Nein","1","männlich",39,0,0,0,"Southampton","Mr","A","Backbord"
"Nein","3","weiblich",18,0,0,7.775,"Southampton","Miss",NA,NA
"Nein","2","männlich",39,0,0,13,"Southampton","Mr",NA,NA
"Ja","1","weiblich",33,1,0,53.1,"Southampton","Mrs","E","Backbord"
"Nein","3","männlich",26,0,0,7.8875,"Southampton","Mr",NA,NA
"Nein","3","männlich",39,0,0,24.15,"Southampton","Mr",NA,NA
"Nein","2","männlich",35,0,0,10.5,"Southampton","Mr",NA,NA
"Nein","3","weiblich",6,4,2,31.275,"Southampton","Miss",NA,NA
"Nein","3","männlich",30.5,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","1","männlich",30,0,0,0,"Southampton","Mr","B","Backbord"
"Nein","3","weiblich",23,0,0,7.925,"Southampton","Miss",NA,NA
"Nein","2","männlich",31,1,1,37.0042,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",43,0,0,6.45,"Southampton","Mr",NA,NA
"Nein","3","männlich",10,3,2,27.9,"Southampton","Master",NA,NA
"Ja","1","weiblich",52,1,1,93.5,"Southampton","Mrs","B","Steuerbord"
"Ja","3","männlich",27,0,0,8.6625,"Southampton","Mr",NA,NA
"Nein","1","männlich",38,0,0,0,"Southampton","Selten",NA,NA
"Ja","3","weiblich",27,0,1,12.475,"Southampton","Mrs","E","Steuerbord"
"Nein","3","männlich",2,4,1,39.6875,"Southampton","Master",NA,NA
"Nein","3","männlich",30,0,0,6.95,"Queenstown","Mr",NA,NA
"Nein","3","männlich",30,0,0,56.4958,"Southampton","Mr",NA,NA
"Ja","2","männlich",1,0,2,37.0042,"Cherbourg","Master",NA,NA
"Ja","3","männlich",30,0,0,7.75,"Queenstown","Mr",NA,NA
"Ja","1","weiblich",62,0,0,80,NA,"Mrs","B","Backbord"
"Ja","3","weiblich",15,1,0,14.4542,"Cherbourg","Mrs",NA,NA
"Ja","2","männlich",0.83,1,1,18.75,"Southampton","Master",NA,NA
"Nein","3","männlich",30,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",23,0,0,7.8542,"Southampton","Mr",NA,NA
"Nein","3","männlich",18,0,0,8.3,"Southampton","Mr",NA,NA
"Ja","1","weiblich",39,1,1,83.1583,"Cherbourg","Miss","E","Steuerbord"
"Nein","3","männlich",21,0,0,8.6625,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Ja","3","männlich",32,0,0,56.4958,"Southampton","Mr",NA,NA
"Ja","1","männlich",30,0,0,29.7,"Cherbourg","Mr","C","Steuerbord"
"Nein","3","männlich",20,0,0,7.925,"Southampton","Mr",NA,NA
"Nein","2","männlich",16,0,0,10.5,"Southampton","Mr",NA,NA
"Ja","1","weiblich",30,0,0,31,"Cherbourg","Miss",NA,NA
"Nein","3","männlich",34.5,0,0,6.4375,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",17,0,0,8.6625,"Southampton","Mr",NA,NA
"Nein","3","männlich",42,0,0,7.55,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,8,2,69.55,"Southampton","Mr",NA,NA
"Nein","3","männlich",35,0,0,7.8958,"Cherbourg","Mr",NA,NA
"Nein","2","männlich",28,0,1,33,"Southampton","Selten",NA,NA
"Ja","1","weiblich",35,1,0,89.1042,"Cherbourg","Mrs","C","Backbord"
"Nein","3","männlich",4,4,2,31.275,"Southampton","Master",NA,NA
"Nein","3","männlich",74,0,0,7.775,"Southampton","Mr",NA,NA
"Nein","3","weiblich",9,1,1,15.2458,"Cherbourg","Miss",NA,NA
"Ja","1","weiblich",16,0,1,39.4,"Southampton","Miss","D","Backbord"
"Nein","2","weiblich",44,1,0,26,"Southampton","Mrs",NA,NA
"Ja","3","weiblich",18,0,1,9.35,"Southampton","Mrs",NA,NA
"Ja","1","weiblich",45,1,1,164.8667,"Southampton","Mrs",NA,NA
"Ja","1","männlich",51,0,0,26.55,"Southampton","Mr","E","Steuerbord"
"Ja","3","weiblich",24,0,3,19.2583,"Cherbourg","Mrs",NA,NA
"Nein","3","männlich",30,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",41,2,0,14.1083,"Southampton","Mr",NA,NA
"Nein","2","männlich",21,1,0,11.5,"Southampton","Mr",NA,NA
"Ja","1","weiblich",48,0,0,25.9292,"Southampton","Mrs","D","Steuerbord"
"Nein","3","weiblich",21,8,2,69.55,"Southampton","Miss",NA,NA
"Nein","2","männlich",24,0,0,13,"Southampton","Mr",NA,NA
"Ja","2","weiblich",42,0,0,13,"Southampton","Mrs",NA,NA
"Ja","2","weiblich",27,1,0,13.8583,"Cherbourg","Miss",NA,NA
"Nein","1","männlich",31,0,0,50.4958,"Southampton","Mr","A","Backbord"
"Nein","3","männlich",30,0,0,9.5,"Southampton","Mr",NA,NA
"Ja","3","männlich",4,1,1,11.1333,"Southampton","Master",NA,NA
"Nein","3","männlich",26,0,0,7.8958,"Southampton","Mr",NA,NA
"Ja","1","weiblich",47,1,1,52.5542,"Southampton","Mrs","D","Steuerbord"
"Nein","1","männlich",33,0,0,5,"Southampton","Mr","B","Steuerbord"
"Nein","3","männlich",47,0,0,9,"Southampton","Mr",NA,NA
"Ja","2","weiblich",28,1,0,24,"Cherbourg","Mrs",NA,NA
"Ja","3","weiblich",15,0,0,7.225,"Cherbourg","Miss",NA,NA
"Nein","3","männlich",20,0,0,9.8458,"Southampton","Mr",NA,NA
"Nein","3","männlich",19,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Ja","1","weiblich",56,0,1,83.1583,"Cherbourg","Mrs","C","Backbord"
"Ja","2","weiblich",25,0,1,26,"Southampton","Mrs",NA,NA
"Nein","3","männlich",33,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","3","weiblich",22,0,0,10.5167,"Southampton","Miss",NA,NA
"Nein","2","männlich",28,0,0,10.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",25,0,0,7.05,"Southampton","Mr",NA,NA
"Nein","3","weiblich",39,0,5,29.125,"Queenstown","Mrs",NA,NA
"Nein","2","männlich",27,0,0,13,"Southampton","Selten",NA,NA
"Ja","1","weiblich",19,0,0,30,"Southampton","Miss","B","Backbord"
"Nein","3","weiblich",21,1,2,23.45,"Southampton","Miss",NA,NA
"Ja","1","männlich",26,0,0,30,"Cherbourg","Mr","C","Backbord"
"Nein","3","männlich",32,0,0,7.75,"Queenstown","Mr",NA,NA
